Fighter
1
10
2
3
9
Desmond Green
Devin Clark
Devin Powell
Devonte Smith
Dhiego Lima
Diana Belbiţă
Diego Brandao
Diego Brandão
Diego Lopes
Diego Nunes
Diego Rivas
Diego Sanchez
Diego Saraiva
Dieuseul Berto
Dileno Lopes
Din Thomas
Din ThomasdefeatsJeremy StephensUFC 71
Dione Barbosa
Diyar Nurgozhay
Djorden Ribeiro dos Santos
Dmitri Stepanov
Dmitriy Sosnovskiy
Dmitry Smolyakov
Dokonjonosuke Mishima
Domingo Pilarte
Dominic Waters
Dominick Cruz
Dominick Cruz(c)
Dominick Reyes
Dominique Steele
Don Frye
Don Madge
Don Shainis
Don'Tale Mayes
Donald Cerrone
Dong Hyun Kim
Dong Hyun Ma
Dongi Yang
Donnie Chappell
Donny Walker
Dorian Price
Doug Evans
Douglas Silva de Andrade
Drakkar Klose
Drako Rodriguez
Drew Dober
Drew Fickett
Drew McFedries
Dricus du Plessis
Dricus du Plessis(c)
Duane Ludwig
Duda Santana
Dustin Hazelett
Dustin Jacoby
Dustin Kimura
Dustin Neace
Dustin Ortiz
Dustin Pague
Dustin Poirier
Dustin Poirier(ic)
Dustin Stoltzfus
Duško Todorović
Dwayne Cason
Dwight Grant
Dylan Andrews
Dylan Budka
Ebenezer Fontes Braga
Ed Herman
Eddie Alvarez
Eddie Alvarez(c)
Eddie Gordon
Eddie Mendez
Eddie Ruiz
Eddie Sanchez
Eddie Wineland
Eddie Yagin
Edgar Chairez
Edgar Garcia
Edgar García
Edilberto de Oliveira
Edmen Shahbazyan
Ednaldo Oliveira
Edson Barboza
Eduarda Moura
Edward Faaloloto
Edwin Dewees
Edwin Figueroa
Efrain Escudero
Eiji Mitsuoka
Eldo Dias Xavier
Elias Garcia
Elias Silverio
Elias Silvério
Elias Theodorou
Elijah Smith
Eliot Marshall
Elise Reed
Elizabeth Phillips
Elizeu Zaleski dos Santos
Elves Brener
Elvis Mutapčić
Elvis Sinosic
Emil Weber Meek
Emily Ducote
Emily Kagan
Emily Whitmire
Emmanuel Yarbrough
Enrique Barzola
Enrique Marín
Enson Inoue
Eric Martin
Eric McConico
Eric Schafer
Eric Shelton
Eric Spicely
Eric Wisely
Erick Gonzalez
Erick Montaño
Erick Silva
Ericka Almeida
Ericsson Globe Arena
Erik Koch
Erik Silva
Erin Blanchfield
Ernest Chavez
Ernesta Kareckaitė
Ernie Verdicia
Eryk Anders
Esteban Ribovics
Estevan Payan
Eugene Jackson
Eugenio Tadeu
Evan Dunham
Evan Elder
Evan Tanner
Evan Tanner(c)
Fabiano Iha
Fabiano Scherner
Fabio Cherant
Fabio Maldonado
Fabricio Camoes
Fabrício Camões
Fabrício Werdum
Fabrício Werdum(c)
Fabrício Werdum(ic)
Fabrício WerdumdefeatsAntônio Rogério NogueiraUFC on Fuel TV: Nogueira vs. Werdum
Falaniko Vitale
Farid Basharat
Farès Ziam
Fatima Kline
Felice Herrig
Felicia Spencer
Felipe Arantes
Felipe Bunes
Felipe Colares
Felipe Lima
Felipe Olivieri
Felipe Silva
Felipe dos Santos
Felix Mitchell
Feng Xiaocan
Fernando Bruno
Fernando Padilla
Fernie Garcia
Filip Pejić
Flavio Luiz Moura
Floyd Sword
Forrest Griffin
Forrest Griffin(c)
Forrest GriffindefeatsMaurício Rua1UFC 76
Forrest Petz
Fort Campbell
Francesco Maturi
Francimar Barroso
Francis Carmont
Francis Marshall
Francis Ngannou
Francis Ngannou(c)
Francisco Figueiredo
Francisco Prado
Francisco Rivera
Francisco Treviño
Francisco Trinaldo
Frank Camacho
Frank Caracci
Frank Hamaker
Frank Lester
Frank Mir
Frank Mir(ic)
Frank Shamrock
Frank Shamrock(c)
Frank Trigg
Frankie Edgar
Frankie Edgar(c)
Frankie Perez
Frankie Saenz
Fred Ettish
Fredson Paixão
Fredy Serrano
Fábio Gurgel
Fábio Maldonado
Gabe Ruediger
Gabriel Benítez
Gabriel Bonfim
Gabriel Gonzaga
Gabriel Green
Gabriel Miranda
Gabriel Santos
Gabriel Silva
Gabriella Fernandes
Gadzhi Omargadzhiev
Gadzhimurad Antigulov
Gaetano Pirrello
Galore Bofando
Gan McGee
Garett Whiteley
Garreth McLellan
Garrett Armfield
Gary Goodridge
Gasan Umalatov
Gastón Bolaños
Gauge Young
Gavin Tucker
Geane Herrera
Gegard Mousasi
Genaro Valdez
Genaro Valdèz
Genaro Valdéz
Genki Sudo
Geoff Neal
George Roop
